Age,human
1434,16.80954637
1435,16.79930288
1436,16.78894584
1437,16.77847827
1438,16.76790316
1439,16.75722353
1440,16.7464424
1441,16.73556279
1442,16.72458773
1443,16.71352025
1444,16.70236339
1445,16.6911202
1446,16.67979371
1447,16.66838699
1448,16.65690309
1449,16.64534506
1450,16.63371599
1451,16.62201893
1452,16.61025697
1453,16.59843319
1454,16.58655067
1455,16.5746125
1456,16.56262179
1457,16.55058162
1458,16.53849512
1459,16.52636538
1460,16.51419553
1461,16.50198868
1462,16.48974796
1463,16.47747651
1464,16.46517744
1465,16.45285391
1466,16.44050907
1467,16.42814605
1468,16.41576802
1469,16.40337813
1470,16.39097955
1471,16.37857545
1472,16.366169
1473,16.35376338
1474,16.34136178
1475,16.32896738
1476,16.31658338
1477,16.30421298
1478,16.29185938
1479,16.27952579
1480,16.26721543
1481,16.2549315
1482,16.24267724
1483,16.23045588
1484,16.21827064
1485,16.20612476
1486,16.1940215
1487,16.18196408
1488,16.16995578
1489,16.15799984
1490,16.14609953
1491,16.13425812
1492,16.12247887
1493,16.11076507
1494,16.09912
1495,16.08754694
1496,16.07604919
1497,16.06463004
1498,16.0532928
1499,16.04204077
1500,16.03087727
1501,16.01980561
1502,16.00882911
1503,15.9979511
1504,15.98717492
1505,15.97650389
1506,15.96594136
1507,15.95549067
1508,15.94515518
1509,15.93493825
1510,15.92484322
1511,15.91487348
1512,15.90503239
1513,15.89517755
1514,15.88516604
1515,15.87500047
1516,15.86468344
1517,15.85421756
1518,15.84360546
1519,15.83284974
1520,15.82195304
1521,15.81091798
1522,15.7997472
1523,15.78844332
1524,15.77700899
1525,15.76544687
1526,15.75375958
1527,15.7419498
1528,15.73002017
1529,15.71797336
1530,15.70581203
1531,15.69353886
1532,15.68115651
1533,15.66866768
1534,15.65607503
1535,15.64338126
1536,15.63058906
1537,15.61770112
1538,15.60472015
1539,15.59164884
1540,15.57848991
1541,15.56524607
1542,15.55192003
1543,15.53851452
1544,15.52503226
1545,15.51147598
1546,15.49784841
1547,15.48415229
1548,15.47039037
1549,15.45656539
1550,15.4426801
1551,15.42873725
1552,15.4147396
1553,15.40068993
1554,15.38659098
1555,15.37244554
1556,15.35825639
1557,15.34402629
1558,15.32975804
1559,15.31545443
1560,15.30111824
1561,15.28675228
1562,15.27235934
1563,15.25794223
1564,15.24350377
1565,15.22904676
1566,15.21457402
1567,15.20008837
1568,15.18559265
